target,workload,concurrency,n_blocks,mean_reduction_percent,p05_reduction_percent,p95_reduction_percent,block_permutation_p_value
qwen_awq4,chat,1,5,2.109620759145219,-3.1204055684126057,8.898470247586234,
qwen_awq4,chat,8,5,3.497087886950573,-2.1661608643597514,9.70984105552551,
qwen_awq4,long_context,1,5,1.7596779374197884,-4.293960904131229,8.194070593490457,
qwen_awq4,long_context,8,5,3.2345668584552576,-1.8527498225154164,9.283462046178153,
qwen_awq4,all_confirmed_cells,0,20,2.6502383604927093,-3.5136005052012336,9.804875007286926,0.44367283950617287
qwen_gptq4,chat,1,5,-0.3306825455999515,-11.152312086498195,8.862313426013085,
qwen_gptq4,chat,8,5,1.2413589813556445,-8.502139910842017,9.978748394613348,
qwen_gptq4,long_context,1,5,-0.9938101714539744,-10.41987857639424,6.66848399973766,
qwen_gptq4,long_context,8,5,1.0448481777289402,-8.121744491775493,8.13661007323609,
qwen_gptq4,all_confirmed_cells,0,20,0.24042861050766487,-11.935786946328637,9.421263731950727,0.988940329218107
