comparison,cell,workload,concurrency,n_paired_repeats,mean_percent_change,min_percent_change,max_percent_change,repeat_1_percent_change,repeat_2_percent_change,repeat_3_percent_change
qwen_awq4 vs BF16,chat_c1,chat,1,3,-4.275954396417364,-8.67516899521567,3.8372866951370135,-8.67516899521567,3.8372866951370135,-7.989980889173435
qwen_awq4 vs BF16,chat_c8,chat,8,3,-6.696462514186979,-10.843035290171738,0.671336232546457,-10.843035290171738,0.671336232546457,-9.917688484935654
qwen_awq4 vs BF16,code_c1,code,1,3,-2.476109086501646,-7.255357845694483,6.897296148712167,-7.070265562522621,6.897296148712167,-7.255357845694483
qwen_awq4 vs BF16,code_c8,code,8,3,-7.298478332543406,-11.927520425791611,1.9150521635698887,-11.927520425791611,1.9150521635698887,-11.882966735408496
qwen_awq4 vs BF16,long_context_c1,long_context,1,3,-2.4842591386960073,-8.01385440714017,6.7734524477545515,-8.01385440714017,6.7734524477545515,-6.212375456702403
qwen_awq4 vs BF16,long_context_c8,long_context,8,3,-6.950032977728369,-10.884895607698226,0.7044625694337753,-10.884895607698226,0.7044625694337753,-10.669665894920655
qwen_awq4 vs BF16,rag_c1,rag,1,3,-3.9007439591510775,-8.51712219527985,4.361298482236598,-7.546408164409981,4.361298482236598,-8.51712219527985
qwen_awq4 vs BF16,rag_c8,rag,8,3,-6.901860852955256,-12.208736478443997,2.6937561118245346,-12.208736478443997,2.6937561118245346,-11.190602192246304
qwen_gptq4 vs BF16,chat_c1,chat,1,3,-2.127485117138864,-8.710522310402064,8.975974404126323,-8.710522310402064,8.975974404126323,-6.64790744514085
qwen_gptq4 vs BF16,chat_c8,chat,8,3,-4.6985430312637115,-9.85215946820787,4.3995912126241405,-9.85215946820787,4.3995912126241405,-8.643060838207406
qwen_gptq4 vs BF16,code_c1,code,1,3,-0.8468098493022156,-6.838975615882112,10.163686410705868,-6.838975615882112,10.163686410705868,-5.8651403427304025
qwen_gptq4 vs BF16,code_c8,code,8,3,-4.5797376696224115,-11.239672330431862,6.423635274254246,-11.239672330431862,6.423635274254246,-8.92317595268962
qwen_gptq4 vs BF16,long_context_c1,long_context,1,3,-1.133438889520767,-8.012774125904937,8.94706323179955,-8.012774125904937,8.94706323179955,-4.334605774456914
qwen_gptq4 vs BF16,long_context_c8,long_context,8,3,-5.624380882135341,-10.89849558721593,4.147502237610916,-10.122149296801009,4.147502237610916,-10.89849558721593
qwen_gptq4 vs BF16,rag_c1,rag,1,3,-1.2003565906963225,-7.514992627434204,10.353698507822651,-7.514992627434204,10.353698507822651,-6.439775652477415
qwen_gptq4 vs BF16,rag_c8,rag,8,3,-5.493689935903568,-12.38879425602847,5.686844897730213,-12.38879425602847,5.686844897730213,-9.779120449412446
