epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784445422586307983,0,55252,30,2400,13801,0,0
1784445422586307983,1,86941,35,2865,13801,13,5
1784445422636366508,0,55252,30,2400,13801,0,0
1784445422636366508,1,104118,35,2865,13801,12,5
1784445422686353072,0,55252,30,2400,13801,0,0
1784445422686353072,1,104118,35,2865,13801,12,5
1784445422736360237,0,55145,30,2400,13801,0,0
1784445422736360237,1,104118,35,2865,13801,12,5
1784445422786352978,0,55145,30,2400,13801,0,0
1784445422786352978,1,104118,35,2865,13801,12,5
1784445422836362025,0,55145,30,2400,13801,0,0
1784445422836362025,1,104118,35,2865,13801,12,5
1784445422886351739,0,55145,30,2400,13801,0,0
1784445422886351739,1,104118,35,2865,13801,12,5
1784445422936362153,0,55145,30,2400,13801,0,0
1784445422936362153,1,104118,35,2865,13801,12,5
1784445422986371801,0,55145,30,2400,13801,0,0
1784445422986371801,1,104118,35,2865,13801,12,5
1784445423036362422,0,55145,30,2400,13801,0,0
1784445423036362422,1,104118,35,2865,13801,12,5
1784445423086353219,0,55145,30,2400,13801,0,0
1784445423086353219,1,104118,35,2865,13801,12,5
1784445423136361044,0,55145,30,2400,13801,0,0
1784445423136361044,1,91596,34,2400,13801,12,6
1784445423186352277,0,55145,30,2400,13801,0,0
1784445423186352277,1,91596,34,2400,13801,12,6
1784445423236360962,0,60940,30,2415,13801,0,0
1784445423236360962,1,91596,34,2400,13801,12,6
1784445423286352922,0,60940,30,2415,13801,0,0
1784445423286352922,1,91596,34,2400,13801,12,6
1784445423336361690,0,60940,30,2415,13801,0,0
1784445423336361690,1,91596,34,2400,13801,12,6
1784445423386351939,0,60940,30,2415,13801,0,0
1784445423386351939,1,91596,34,2400,13801,12,6
1784445423436360466,0,60940,30,2415,13801,0,0
1784445423436360466,1,91596,34,2400,13801,12,6
1784445423486352277,0,60940,30,2415,13801,0,0
1784445423486352277,1,91596,34,2400,13801,12,6
1784445423536364023,0,60940,30,2415,13801,0,0
1784445423536364023,1,91596,34,2400,13801,12,6
1784445423586353097,0,60940,30,2415,13801,0,0
1784445423586353097,1,91596,34,2400,13801,12,6
1784445423636359998,0,60940,30,2415,13801,0,0
1784445423636359998,1,79372,34,2535,13801,2,1
1784445423686355171,0,60940,30,2415,13801,0,0
