block,completion_tokens,dispatch_first,finish_reason,format,phase,physical_gpu,prompt_tokens,request_end_ns,request_index,request_start_ns,session_end_ns,session_start_ns,total_tokens
1,256,AWQ,length,AWQ,1,0,31,1784445441219889062,0,1784445422790538978,1784445441223071385,1784445422790136837,287
1,256,AWQ,length,AWQ,1,0,27,1784445441222412316,1,1784445422790835955,1784445441223071385,1784445422790136837,283
1,256,AWQ,length,AWQ,1,0,29,1784445441222542257,2,1784445422791245658,1784445441223071385,1784445422790136837,285
1,256,AWQ,length,AWQ,1,0,23,1784445441222689529,3,1784445422791645724,1784445441223071385,1784445422790136837,279
1,256,AWQ,length,AWQ,1,0,19,1784445441222626167,4,1784445422791959149,1784445441223071385,1784445422790136837,275
1,256,AWQ,length,AWQ,1,0,24,1784445441222472369,5,1784445422792277590,1784445441223071385,1784445422790136837,280
1,256,AWQ,length,AWQ,1,0,21,1784445441221969142,6,1784445422792621566,1784445441223071385,1784445422790136837,277
1,256,AWQ,length,AWQ,1,0,27,1784445441222747621,7,1784445422792930699,1784445441223071385,1784445422790136837,283
1,256,AWQ,length,GPTQ,1,1,31,1784445441422773506,0,1784445422940592851,1784445441425940150,1784445422940397312,287
1,256,AWQ,length,GPTQ,1,1,27,1784445441425662452,1,1784445422940893256,1784445441425940150,1784445422940397312,283
1,256,AWQ,length,GPTQ,1,1,29,1784445441425058769,2,1784445422941179703,1784445441425940150,1784445422940397312,285
1,256,AWQ,length,GPTQ,1,1,23,1784445441425525206,3,1784445422941486767,1784445441425940150,1784445422940397312,279
1,256,AWQ,length,GPTQ,1,1,19,1784445441425458952,4,1784445422941795746,1784445441425940150,1784445422940397312,275
1,256,AWQ,length,GPTQ,1,1,24,1784445441425226790,5,1784445422942155141,1784445441425940150,1784445422940397312,280
1,256,AWQ,length,GPTQ,1,1,21,1784445441425604068,6,1784445422942513160,1784445441425940150,1784445422940397312,277
1,256,AWQ,length,GPTQ,1,1,27,1784445441425279392,7,1784445422942841851,1784445441425940150,1784445422940397312,283
2,256,GPTQ,length,AWQ,1,0,31,1784445459858189959,0,1784445442576534211,1784445459860836535,1784445442576408569,287
2,256,GPTQ,length,AWQ,1,0,27,1784445459860195141,1,1784445442576765368,1784445459860836535,1784445442576408569,283
2,256,GPTQ,length,AWQ,1,0,29,1784445459860523319,2,1784445442577003618,1784445459860836535,1784445442576408569,285
2,256,GPTQ,length,AWQ,1,0,23,1784445459859946827,3,1784445442577236829,1784445459860836535,1784445442576408569,279
2,256,GPTQ,length,AWQ,1,0,19,1784445459860135448,4,1784445442577653604,1784445459860836535,1784445442576408569,275
2,256,GPTQ,length,AWQ,1,0,24,1784445459859753285,5,1784445442577908994,1784445459860836535,1784445442576408569,280
2,256,GPTQ,length,AWQ,1,0,21,1784445459860397278,6,1784445442578162926,1784445459860836535,1784445442576408569,277
2,256,GPTQ,length,AWQ,1,0,27,1784445459860458094,7,1784445442578368551,1784445459860836535,1784445442576408569,283
2,256,GPTQ,length,GPTQ,1,1,31,1784445459969517968,0,1784445442426621976,1784445459971686535,1784445442426463818,287
2,256,GPTQ,length,GPTQ,1,1,27,1784445459969431924,1,1784445442426916251,1784445459971686535,1784445442426463818,283
2,256,GPTQ,length,GPTQ,1,1,29,1784445459971082744,2,1784445442427171382,1784445459971686535,1784445442426463818,285
2,256,GPTQ,length,GPTQ,1,1,23,1784445459971017438,3,1784445442427416359,1784445459971686535,1784445442426463818,279
2,256,GPTQ,length,GPTQ,1,1,19,1784445459971141703,4,1784445442427687099,1784445459971686535,1784445442426463818,275
2,256,GPTQ,length,GPTQ,1,1,24,1784445459970839572,5,1784445442428110111,1784445459971686535,1784445442426463818,280
2,256,GPTQ,length,GPTQ,1,1,21,1784445459971402471,6,1784445442428411607,1784445459971686535,1784445442426463818,277
2,256,GPTQ,length,GPTQ,1,1,27,1784445459971343232,7,1784445442428655273,1784445459971686535,1784445442426463818,283
3,256,AWQ,length,AWQ,1,0,31,1784445478255175545,0,1784445460972402429,1784445478258376217,1784445460972132106,287
3,256,AWQ,length,AWQ,1,0,27,1784445478257998965,1,1784445460972713481,1784445478258376217,1784445460972132106,283
3,256,AWQ,length,AWQ,1,0,29,1784445478257848935,2,1784445460972960394,1784445478258376217,1784445460972132106,285
3,256,AWQ,length,AWQ,1,0,23,1784445478257935708,3,1784445460973179010,1784445478258376217,1784445460972132106,279
3,256,AWQ,length,AWQ,1,0,19,1784445478257783089,4,1784445460973428114,1784445478258376217,1784445460972132106,275
3,256,AWQ,length,AWQ,1,0,24,1784445478257300565,5,1784445460973734487,1784445478258376217,1784445460972132106,280
3,256,AWQ,length,AWQ,1,0,21,1784445478257602494,6,1784445460974131394,1784445478258376217,1784445460972132106,277
3,256,AWQ,length,AWQ,1,0,27,1784445478258058070,7,1784445460974395492,1784445478258376217,1784445460972132106,283
3,256,AWQ,length,GPTQ,1,1,31,1784445478677627864,0,1784445461122465732,1784445478680249069,1784445461122315600,287
3,256,AWQ,length,GPTQ,1,1,27,1784445478679882559,1,1784445461122704125,1784445478680249069,1784445461122315600,283
3,256,AWQ,length,GPTQ,1,1,29,1784445478679508992,2,1784445461122939409,1784445478680249069,1784445461122315600,285
3,256,AWQ,length,GPTQ,1,1,23,1784445478679820798,3,1784445461123184281,1784445478680249069,1784445461122315600,279
3,256,AWQ,length,GPTQ,1,1,19,1784445478679568446,4,1784445461124233599,1784445478680249069,1784445461122315600,275
3,256,AWQ,length,GPTQ,1,1,24,1784445478679628175,5,1784445461124475939,1784445478680249069,1784445461122315600,280
3,256,AWQ,length,GPTQ,1,1,21,1784445478679940176,6,1784445461124751819,1784445478680249069,1784445461122315600,277
3,256,AWQ,length,GPTQ,1,1,27,1784445478679188085,7,1784445461125075970,1784445478680249069,1784445461122315600,283
4,256,GPTQ,length,AWQ,1,0,31,1784445497117358844,0,1784445479830955629,1784445497120005749,1784445479830816857,287
4,256,GPTQ,length,AWQ,1,0,27,1784445497119499376,1,1784445479831197303,1784445497120005749,1784445479830816857,283
4,256,GPTQ,length,AWQ,1,0,29,1784445497119702822,2,1784445479831434502,1784445497120005749,1784445479830816857,285
4,256,GPTQ,length,AWQ,1,0,23,1784445497119144891,3,1784445479831710810,1784445497120005749,1784445479830816857,279
4,256,GPTQ,length,AWQ,1,0,19,1784445497119557887,4,1784445479832072067,1784445497120005749,1784445479830816857,275
4,256,GPTQ,length,AWQ,1,0,24,1784445497119080756,5,1784445479832384345,1784445497120005749,1784445479830816857,280
4,256,GPTQ,length,AWQ,1,0,21,1784445497119320297,6,1784445479832582160,1784445497120005749,1784445479830816857,277
4,256,GPTQ,length,AWQ,1,0,27,1784445497119634155,7,1784445479832827841,1784445497120005749,1784445479830816857,283
4,256,GPTQ,length,GPTQ,1,1,31,1784445497227235973,0,1784445479681013320,1784445497230248094,1784445479680861013,287
4,256,GPTQ,length,GPTQ,1,1,27,1784445497229885824,1,1784445479681311437,1784445497230248094,1784445479680861013,283
