epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784446230264609422,0,59913,30,2400,13801,0,0
1784446230264609422,1,98097,34,2872,13801,12,5
1784446230314667484,0,59913,30,2400,13801,0,0
1784446230314667484,1,98097,34,2872,13801,12,5
1784446230364662916,0,59913,30,2400,13801,0,0
1784446230364662916,1,98097,34,2872,13801,12,5
1784446230414669451,0,59913,30,2400,13801,0,0
1784446230414669451,1,98097,34,2872,13801,12,5
1784446230464665210,0,54884,30,2400,13801,0,0
1784446230464665210,1,100364,34,2520,13801,0,0
1784446230514664845,0,54884,30,2400,13801,0,0
1784446230514664845,1,100364,34,2520,13801,0,0
1784446230564665932,0,54884,30,2400,13801,0,0
1784446230564665932,1,100364,34,2520,13801,0,0
1784446230614664890,0,54884,30,2400,13801,0,0
1784446230614664890,1,100364,34,2520,13801,0,0
1784446230664666210,0,54884,30,2400,13801,0,0
1784446230664666210,1,100364,34,2520,13801,0,0
1784446230714665388,0,54884,30,2400,13801,0,0
1784446230714665388,1,100364,34,2520,13801,0,0
1784446230764665612,0,54884,30,2400,13801,0,0
1784446230764665612,1,100364,34,2520,13801,0,0
1784446230814666205,0,54884,30,2400,13801,0,0
1784446230814666205,1,100364,34,2520,13801,0,0
1784446230864666162,0,54884,30,2400,13801,0,0
1784446230864666162,1,100364,34,2520,13801,0,0
1784446230914666197,0,54884,30,2400,13801,0,0
1784446230914666197,1,100364,34,2520,13801,0,0
1784446230964665429,0,82698,32,2760,13801,15,6
1784446230964665429,1,96044,35,2835,13801,19,11
1784446231014664072,0,82698,32,2760,13801,15,6
1784446231014664072,1,96044,35,2835,13801,19,11
1784446231064667619,0,82698,32,2760,13801,15,6
1784446231064667619,1,96044,35,2835,13801,19,11
1784446231114678237,0,82698,32,2760,13801,15,6
1784446231114678237,1,96044,35,2835,13801,19,11
1784446231164664173,0,82698,32,2760,13801,15,6
1784446231164664173,1,96044,35,2835,13801,19,11
1784446231214664516,0,82698,32,2760,13801,15,6
1784446231214664516,1,96044,35,2835,13801,19,11
1784446231264663212,0,82698,32,2760,13801,15,6
1784446231264663212,1,96044,35,2835,13801,19,11
1784446231314663488,0,82698,32,2760,13801,15,6
1784446231314663488,1,96044,35,2835,13801,19,11
1784446231364663547,0,82698,32,2760,13801,15,6
1784446231364663547,1,96044,35,2835,13801,19,11
1784446231414664384,0,82698,32,2760,13801,15,6
1784446231414664384,1,96044,35,2835,13801,19,11
1784446231464663593,0,108068,32,2932,13801,16,7
1784446231464663593,1,102576,35,2865,13801,16,7
1784446231514663601,0,108068,32,2932,13801,16,7
1784446231514663601,1,102576,35,2865,13801,16,7
1784446231564664028,0,108068,32,2932,13801,16,7
1784446231564664028,1,102576,35,2865,13801,16,7
1784446231614665145,0,108068,32,2932,13801,16,7
1784446231614665145,1,102576,35,2865,13801,16,7
1784446231664662214,0,108068,32,2932,13801,16,7
1784446231664662214,1,102576,35,2865,13801,16,7
1784446231714662574,0,108068,32,2932,13801,16,7
1784446231714662574,1,102576,35,2865,13801,16,7
1784446231764662969,0,108068,32,2932,13801,16,7
1784446231764662969,1,102576,35,2865,13801,16,7
1784446231814662541,0,108068,32,2932,13801,16,7
1784446231814662541,1,102576,35,2865,13801,16,7
1784446231864662246,0,108068,32,2932,13801,16,7
1784446231864662246,1,102576,35,2865,13801,16,7
1784446231914662176,0,108068,32,2932,13801,16,7
1784446231914662176,1,102576,35,2865,13801,16,7
1784446231964663901,0,117923,33,2932,13801,16,7
1784446231964663901,1,114505,35,2857,13801,16,7
1784446232014663574,0,117923,33,2932,13801,16,7
1784446232014663574,1,114505,35,2857,13801,16,7
1784446232064660840,0,117923,33,2932,13801,16,7
1784446232064660840,1,114505,35,2857,13801,16,7
1784446232114663696,0,117923,33,2932,13801,16,7
1784446232114663696,1,114505,35,2857,13801,16,7
1784446232164662584,0,117923,33,2932,13801,16,7
1784446232164662584,1,114505,35,2857,13801,16,7
1784446232214663858,0,117923,33,2932,13801,16,7
1784446232214663858,1,114505,35,2857,13801,16,7
1784446232264661171,0,117923,33,2932,13801,16,7
1784446232264661171,1,114505,35,2857,13801,16,7
1784446232314662533,0,117923,33,2932,13801,16,7
1784446232314662533,1,114505,35,2857,13801,16,7
1784446232364660954,0,117923,33,2932,13801,16,7
1784446232364660954,1,114505,35,2857,13801,16,7
1784446232414663697,0,117923,33,2932,13801,16,7
1784446232414663697,1,114505,35,2857,13801,16,7
1784446232464663228,0,119520,33,2932,13801,17,8
1784446232464663228,1,115229,35,2865,13801,16,7
1784446232514663736,0,119520,33,2932,13801,17,8
1784446232514663736,1,115229,35,2865,13801,16,7
1784446232564663531,0,119520,33,2932,13801,17,8
1784446232564663531,1,115229,35,2865,13801,16,7
1784446232614663888,0,119520,33,2932,13801,17,8
1784446232614663888,1,115229,35,2865,13801,16,7
1784446232664663689,0,119520,33,2932,13801,17,8
1784446232664663689,1,115229,35,2865,13801,16,7
1784446232714664029,0,119520,33,2932,13801,17,8
1784446232714664029,1,115229,35,2865,13801,16,7
1784446232764662201,0,119520,33,2932,13801,17,8
1784446232764662201,1,115229,35,2865,13801,16,7
1784446232814664405,0,119520,33,2932,13801,17,8
1784446232814664405,1,115229,35,2865,13801,16,7
1784446232864663678,0,119520,33,2932,13801,17,8
1784446232864663678,1,115229,35,2865,13801,16,7
1784446232914664011,0,119520,33,2932,13801,17,8
1784446232914664011,1,115229,35,2865,13801,16,7
1784446232964663131,0,121375,33,2932,13801,17,8
1784446232964663131,1,116842,35,2857,13801,17,9
1784446233014664432,0,121375,33,2932,13801,17,8
1784446233014664432,1,116842,35,2857,13801,17,9
1784446233064664998,0,121375,33,2932,13801,17,8
1784446233064664998,1,116842,35,2857,13801,17,9
1784446233114663647,0,121375,33,2932,13801,17,8
1784446233114663647,1,116842,35,2857,13801,17,9
1784446233164663919,0,121375,33,2932,13801,17,8
1784446233164663919,1,116842,35,2857,13801,17,9
1784446233214664391,0,121375,33,2932,13801,17,8
1784446233214664391,1,116842,35,2857,13801,17,9
1784446233264663492,0,121375,33,2932,13801,17,8
1784446233264663492,1,116842,35,2857,13801,17,9
1784446233314662301,0,121375,33,2932,13801,17,8
1784446233314662301,1,116842,35,2857,13801,17,9
1784446233364663496,0,121375,33,2932,13801,17,8
1784446233364663496,1,116842,35,2857,13801,17,9
1784446233414661744,0,121375,33,2932,13801,17,8
1784446233414661744,1,116842,35,2857,13801,17,9
1784446233464662968,0,122314,34,2925,13801,17,8
1784446233464662968,1,118714,36,2857,13801,17,8
1784446233514661436,0,122314,34,2925,13801,17,8
1784446233514661436,1,118714,36,2857,13801,17,8
1784446233564663625,0,122314,34,2925,13801,17,8
1784446233564663625,1,118714,36,2857,13801,17,8
1784446233614661673,0,122314,34,2925,13801,17,8
1784446233614661673,1,118714,36,2857,13801,17,8
1784446233664663480,0,122314,34,2925,13801,17,8
1784446233664663480,1,118714,36,2857,13801,17,8
1784446233714661366,0,122314,34,2925,13801,17,8
1784446233714661366,1,118714,36,2857,13801,17,8
1784446233764663666,0,122314,34,2925,13801,17,8
1784446233764663666,1,118714,36,2857,13801,17,8
1784446233814662057,0,122314,34,2925,13801,17,8
1784446233814662057,1,118714,36,2857,13801,17,8
1784446233864664444,0,122314,34,2925,13801,17,8
1784446233864664444,1,118714,36,2857,13801,17,8
1784446233914661757,0,122314,34,2925,13801,17,8
1784446233914661757,1,118714,36,2857,13801,17,8
1784446233964663488,0,122488,34,2932,13801,17,8
1784446233964663488,1,119332,36,2857,13801,17,9
1784446234014664082,0,122488,34,2932,13801,17,8
1784446234014664082,1,119332,36,2857,13801,17,9
1784446234064663754,0,122488,34,2932,13801,17,8
1784446234064663754,1,119332,36,2857,13801,17,9
1784446234114661309,0,122488,34,2932,13801,17,8
1784446234114661309,1,119332,36,2857,13801,17,9
1784446234164662903,0,122488,34,2932,13801,17,8
1784446234164662903,1,119332,36,2857,13801,17,9
1784446234214664271,0,122488,34,2932,13801,17,8
1784446234214664271,1,119332,36,2857,13801,17,9
1784446234264662569,0,122488,34,2932,13801,17,8
1784446234264662569,1,119332,36,2857,13801,17,9
1784446234314661795,0,122488,34,2932,13801,17,8
1784446234314661795,1,119332,36,2857,13801,17,9
1784446234364662675,0,122488,34,2932,13801,17,8
1784446234364662675,1,119332,36,2857,13801,17,9
1784446234414661715,0,122488,34,2932,13801,17,8
1784446234414661715,1,119332,36,2857,13801,17,9
1784446234464662171,0,122895,34,2932,13801,17,8
1784446234464662171,1,119612,36,2857,13801,17,8
1784446234514661428,0,122895,34,2932,13801,17,8
1784446234514661428,1,119612,36,2857,13801,17,8
1784446234564662261,0,122895,34,2932,13801,17,8
1784446234564662261,1,119612,36,2857,13801,17,8
1784446234614663123,0,122895,34,2932,13801,17,8
1784446234614663123,1,119612,36,2857,13801,17,8
1784446234664662630,0,122895,34,2932,13801,17,8
1784446234664662630,1,119612,36,2857,13801,17,8
1784446234714661860,0,122895,34,2932,13801,17,8
1784446234714661860,1,119612,36,2857,13801,17,8
1784446234764662272,0,122895,34,2932,13801,17,8
1784446234764662272,1,119612,36,2857,13801,17,8
1784446234814662167,0,122895,34,2932,13801,17,8
1784446234814662167,1,119612,36,2857,13801,17,8
1784446234864661779,0,122895,34,2932,13801,17,8
1784446234864661779,1,119612,36,2857,13801,17,8
1784446234914662652,0,122895,34,2932,13801,17,8
1784446234914662652,1,119612,36,2857,13801,17,8
1784446234964665933,0,122988,34,2925,13801,17,8
1784446234964665933,1,119726,36,2857,13801,17,9
1784446235014664767,0,122988,34,2925,13801,17,8
1784446235014664767,1,119726,36,2857,13801,17,9
1784446235064663962,0,122988,34,2925,13801,17,8
1784446235064663962,1,119726,36,2857,13801,17,9
1784446235114662617,0,122988,34,2925,13801,17,8
1784446235114662617,1,119726,36,2857,13801,17,9
1784446235164663444,0,122988,34,2925,13801,17,8
1784446235164663444,1,119726,36,2857,13801,17,9
1784446235214663585,0,122988,34,2925,13801,17,8
1784446235214663585,1,119726,36,2857,13801,17,9
1784446235264662783,0,122988,34,2925,13801,17,8
1784446235264662783,1,119726,36,2857,13801,17,9
1784446235314661478,0,122988,34,2925,13801,17,8
1784446235314661478,1,119726,36,2857,13801,17,9
1784446235364662583,0,122988,34,2925,13801,17,8
1784446235364662583,1,119726,36,2857,13801,17,9
1784446235414682425,0,122988,34,2925,13801,17,8
1784446235414682425,1,119726,36,2857,13801,17,9
1784446235464681199,0,123395,34,2932,13801,17,8
1784446235464681199,1,120215,36,2857,13801,17,8
1784446235514679398,0,123395,34,2932,13801,17,8
1784446235514679398,1,120215,36,2857,13801,17,8
1784446235564681734,0,123395,34,2932,13801,17,8
1784446235564681734,1,120215,36,2857,13801,17,8
1784446235614680739,0,123395,34,2932,13801,17,8
1784446235614680739,1,120215,36,2857,13801,17,8
1784446235664682457,0,123395,34,2932,13801,17,8
1784446235664682457,1,120215,36,2857,13801,17,8
1784446235714680527,0,123395,34,2932,13801,17,8
