block,completion_tokens,dispatch_first,finish_reason,format,phase,physical_gpu,prompt_tokens,request_end_ns,request_index,request_start_ns,session_end_ns,session_start_ns,total_tokens
1,512,AWQ,length,AWQ,1,0,31,1784446264991471758,0,1784446230485693519,1784446264994757857,1784446230485363770,543
1,512,AWQ,length,AWQ,1,0,27,1784446264994145838,1,1784446230485945891,1784446264994757857,1784446230485363770,539
1,512,AWQ,length,AWQ,1,0,29,1784446264994374503,2,1784446230486317929,1784446264994757857,1784446230485363770,541
1,512,AWQ,length,AWQ,1,0,23,1784446264994449405,3,1784446230486689363,1784446264994757857,1784446230485363770,535
1,512,AWQ,length,AWQ,1,0,19,1784446264994206480,4,1784446230486943725,1784446264994757857,1784446230485363770,531
1,512,AWQ,length,AWQ,1,0,24,1784446264993646171,5,1784446230487196010,1784446264994757857,1784446230485363770,536
1,512,AWQ,length,AWQ,1,0,21,1784446264994083382,6,1784446230487489431,1784446264994757857,1784446230485363770,533
1,512,AWQ,length,AWQ,1,0,27,1784446264994296208,7,1784446230487772868,1784446264994757857,1784446230485363770,539
1,512,AWQ,length,GPTQ,1,1,31,1784446265503346876,0,1784446230635752359,1784446265506739828,1784446230635594046,543
1,512,AWQ,length,GPTQ,1,1,27,1784446265505991726,1,1784446230635967670,1784446265506739828,1784446230635594046,539
1,512,AWQ,length,GPTQ,1,1,29,1784446265506460194,2,1784446230636247649,1784446265506739828,1784446230635594046,541
1,512,AWQ,length,GPTQ,1,1,23,1784446265506319102,3,1784446230636513295,1784446265506739828,1784446230635594046,535
1,512,AWQ,length,GPTQ,1,1,19,1784446265506052095,4,1784446230636840249,1784446265506739828,1784446230635594046,531
1,512,AWQ,length,GPTQ,1,1,24,1784446265506393571,5,1784446230637074557,1784446265506739828,1784446230635594046,536
1,512,AWQ,length,GPTQ,1,1,21,1784446265505577392,6,1784446230637345145,1784446265506739828,1784446230635594046,533
1,512,AWQ,length,GPTQ,1,1,27,1784446265506244760,7,1784446230637590433,1784446265506739828,1784446230635594046,539
2,512,GPTQ,length,AWQ,1,0,31,1784446301230588543,0,1784446266657304136,1784446301233914523,1784446266657173196,543
2,512,GPTQ,length,AWQ,1,0,27,1784446301233555543,1,1784446266657520289,1784446301233914523,1784446266657173196,539
2,512,GPTQ,length,AWQ,1,0,29,1784446301232844216,2,1784446266657749688,1784446301233914523,1784446266657173196,541
2,512,GPTQ,length,AWQ,1,0,23,1784446301233345076,3,1784446266658013639,1784446301233914523,1784446266657173196,535
2,512,GPTQ,length,AWQ,1,0,19,1784446301233616874,4,1784446266658335617,1784446301233914523,1784446266657173196,531
2,512,GPTQ,length,AWQ,1,0,24,1784446301233492281,5,1784446266658601306,1784446301233914523,1784446266657173196,536
2,512,GPTQ,length,AWQ,1,0,21,1784446301233155643,6,1784446266658941776,1784446301233914523,1784446266657173196,533
2,512,GPTQ,length,AWQ,1,0,27,1784446301233412843,7,1784446266659109848,1784446301233914523,1784446266657173196,539
2,512,GPTQ,length,GPTQ,1,1,31,1784446301343641135,0,1784446266507385659,1784446301344124654,1784446266507223267,543
2,512,GPTQ,length,GPTQ,1,1,27,1784446301340895603,1,1784446266507666158,1784446301344124654,1784446266507223267,539
2,512,GPTQ,length,GPTQ,1,1,29,1784446301343847456,2,1784446266507955353,1784446301344124654,1784446266507223267,541
2,512,GPTQ,length,GPTQ,1,1,23,1784446301343717589,3,1784446266508230351,1784446301344124654,1784446266507223267,535
2,512,GPTQ,length,GPTQ,1,1,19,1784446301343781573,4,1784446266508497926,1784446301344124654,1784446266507223267,531
2,512,GPTQ,length,GPTQ,1,1,24,1784446301343408809,5,1784446266508798936,1784446301344124654,1784446266507223267,536
2,512,GPTQ,length,GPTQ,1,1,21,1784446301343467802,6,1784446266509122901,1784446301344124654,1784446266507223267,533
2,512,GPTQ,length,GPTQ,1,1,27,1784446301343111113,7,1784446266509370530,1784446301344124654,1784446266507223267,539
3,512,AWQ,length,AWQ,1,0,31,1784446336875142318,0,1784446302344780992,1784446336875621026,1784446302344512825,543
3,512,AWQ,length,AWQ,1,0,27,1784446336872356891,1,1784446302345058470,1784446336875621026,1784446302344512825,539
3,512,AWQ,length,AWQ,1,0,29,1784446336874894676,2,1784446302345339862,1784446336875621026,1784446302344512825,541
3,512,AWQ,length,AWQ,1,0,23,1784446336875284680,3,1784446302345606161,1784446336875621026,1784446302344512825,535
3,512,AWQ,length,AWQ,1,0,19,1784446336874562455,4,1784446302345949886,1784446336875621026,1784446302344512825,531
3,512,AWQ,length,AWQ,1,0,24,1784446336875221410,5,1784446302346245079,1784446336875621026,1784446302344512825,536
3,512,AWQ,length,AWQ,1,0,21,1784446336875344274,6,1784446302346580752,1784446336875621026,1784446302344512825,533
3,512,AWQ,length,AWQ,1,0,27,1784446336875081375,7,1784446302346860605,1784446336875621026,1784446302344512825,539
3,512,AWQ,length,GPTQ,1,1,31,1784446337364884560,0,1784446302494814332,1784446337368097088,1784446302494687517,543
3,512,AWQ,length,GPTQ,1,1,27,1784446337367670691,1,1784446302495029998,1784446337368097088,1784446302494687517,539
3,512,AWQ,length,GPTQ,1,1,29,1784446337367741312,2,1784446302495237435,1784446337368097088,1784446302494687517,541
3,512,AWQ,length,GPTQ,1,1,23,1784446337367814614,3,1784446302495473314,1784446337368097088,1784446302494687517,535
3,512,AWQ,length,GPTQ,1,1,19,1784446337367608311,4,1784446302496459337,1784446337368097088,1784446302494687517,531
3,512,AWQ,length,GPTQ,1,1,24,1784446337367420483,5,1784446302496824450,1784446337368097088,1784446302494687517,536
3,512,AWQ,length,GPTQ,1,1,21,1784446337366944025,6,1784446302497007458,1784446337368097088,1784446302494687517,533
3,512,AWQ,length,GPTQ,1,1,27,1784446337367136034,7,1784446302497204798,1784446337368097088,1784446302494687517,539
4,512,GPTQ,length,AWQ,1,0,31,1784446373044141411,0,1784446338518662759,1784446373047391185,1784446338518526314,543
4,512,GPTQ,length,AWQ,1,0,27,1784446373046699620,1,1784446338518892014,1784446373047391185,1784446338518526314,539
4,512,GPTQ,length,AWQ,1,0,29,1784446373047025372,2,1784446338519136436,1784446373047391185,1784446338518526314,541
4,512,GPTQ,length,AWQ,1,0,23,1784446373046316558,3,1784446338519381047,1784446373047391185,1784446338518526314,535
4,512,GPTQ,length,AWQ,1,0,19,1784446373046759771,4,1784446338519765706,1784446373047391185,1784446338518526314,531
4,512,GPTQ,length,AWQ,1,0,24,1784446373046946065,5,1784446338519978962,1784446373047391185,1784446338518526314,536
